"month","y2010","y2011","y2012","y2013","y2014","y2015","y2016","average"
"January",2392,2728,2619,2578,2484,2744,2741,2612
"February",2227,2363,2448,2376,2216,2403,2592,2375
"March",2495,2770,2575,2705,2489,2427,2460,2560
"April",2298,2448,2478,2314,2396,2259,2240,2348
"May",2449,2477,2379,2399,2479,2339,2310,2405
"June",2405,2458,2555,2337,2387,2146,2354,2377
"July",2478,2468,2446,2485,2420,2380,2453,2447
"August",2575,2443,2470,2497,2536,2272,2427,2460
"September",2281,2359,2454,2469,2495,2258,2363,2383
"October",2468,2483,2420,2398,2486,2391,2352,2428
"November",2512,2360,2455,2268,2649,2268,2477,2427
"December",2776,2645,2574,2540,2889,2516,2844,2683
